brand,model,price,availability,date,type
Intel,Core i9 7980XE,32999,In Stock,20171231072512,cpu
Intel,Core i9 7960X,27999,In Stock,20171231072512,cpu
Intel,Core i9 7940X,22999,In Stock,20171231072512,cpu
AMD,RYZEN Threadripper 1950X,18299,In Stock,20171231072512,cpu
Intel,Core i9 7900X,16199,In Stock,20171231072512,cpu
AMD,RYZEN Threadripper 1920X,12499,Out of Stock,20171231072512,cpu
AMD,RYZEN Threadripper 1900X,10899,In Stock,20171231072512,cpu
Intel,Core i7 7820X,9999,In Stock,20171231072512,cpu
AMD,RYZEN 7 1800X 4.0GHz,7699,In Stock,20171231072512,cpu
Intel,Core i7 8700K 8th Gen,6499,In Stock,20171231072512,cpu
Intel,Core i7 7800X,6399,In Stock,20171231072512,cpu
Intel,Core i7 7700K 7th Gen,5799,In Stock,20171231072512,cpu
AMD,RYZEN 7 1700X 3.8GHz,5799,In Stock,20171231072512,cpu
Intel,Core i7 7740X,5469,In Stock,20171231072512,cpu
Intel,Core i7 7700 7th Gen,5299,In Stock,20171231072512,cpu
Intel,Core i7 8700 8th Gen,5199,Out of Stock,20171231072512,cpu
AMD,RYZEN 7 1700 3.7GHz,5099,In Stock,20171231072512,cpu
Intel,Core i5 8600K 8th Gen,4399,In Stock,20171231072512,cpu
AMD,RYZEN 5 1600X 4.0GHz,3999,Out of Stock,20171231072512,cpu
Intel,Core i5 6600 6th Generation,3499,In Stock,20171231072512,cpu
Intel,Core i5 7500 7th Gen,3449,In Stock,20171231072512,cpu
AMD,RYZEN 5 1600 3.6GHz,3399,In Stock,20171231072512,cpu
Intel,Core i5 8400 8th Gen,3199,Out of Stock,20171231072512,cpu
AMD,RYZEN 5 1500X 3.7GHz,3099,Out of Stock,20171231072512,cpu
Intel,Core i3 8350K 8th Gen,2899,In Stock,20171231072512,cpu
AMD,RYZEN 5 1400 3.6GHz,2599,In Stock,20171231072512,cpu
AMD,RYZEN 3 1300X  3.7GHz,1999,In Stock,20171231072512,cpu
Intel,Core i3 8100 8th Gen,1899,In Stock,20171231072512,cpu
AMD,RYZEN 3 1200 3.4GHz,1899,In Stock,20171231072512,cpu